FAIXA ETÁRIA,SEXO,COR OU RACA,SITUACÃO DE CONCLUSÃO,ANO QUE CONCLUIU,ESCOLA,ENSINO,ESTADO DA ESCOLA,DEPENDÊNCIA ADM DA ESCOLA,LOCALIZACAO DA ESCOLA,SG_UF_PROVA,PRESENCA CIÊNCIAS DA NATUREZA,PRESENCA CIÊNCIAS HUMANAS,PRESENCA LINGUAGENS E CÓDIGOS,PRESENCA MATEMÁTICA,CÓDIGO DA PROVA CIÊNCIAS DA NATUREZA,CÓDIGO DA PROVA CIÊNCIAS HUMANAS,CÓDIGO DA PROVA LINGUAGENS E CÓDIGOS,CÓDIGO DA PROVA MATEMÁTICA,NOTA CIÊNCIAS DA NATUREZA,NOTA CIÊNCIAS HUMANAS,NOTA LINGUAGENS E CÓDIGOS,NOTA MATEMÁTICA,LÍNGUA ESTRANGEIRA,STATUS DA REDACÃO,NOTA REDACÃO,NOTA TOTAL,"FAIXA SALARIAL",POSSUI INTERNET EM CASA
21 anos,F,Branca,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza (Digital),Amarela (Digital),Amarela (Digital),Cinza (Digital),471.0,584.0,549.0,595.9,Inglês,Sem problemas,680.0,456.8,"Até R$ 1.212,00",Sim
20 anos,F,Preta,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 6.060,01 até R$ 7.272,00.",Sim
Menor de 17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,488.8,533.3,468.8,410.8,Espanhol,Sem problemas,700.0,140.0,"Até R$ 1.212,00",Não
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RS,Estadual,Urbana,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,443.4,549.3,605.1,386.6,Espanhol,Sem problemas,740.0,148.0,"De R$ 9.696,01 até R$ 10.908,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,AL,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,708.9,702.3,677.3,845.5,Inglês,Sem problemas,900.0,180.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,430.7,483.7,492.5,465.9,Espanhol,Sem problemas,540.0,108.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
Menor de 17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,554.9,571.1,537.2,486.6,Inglês,Sem problemas,540.0,108.0,"De R$ 1.212,01 até R$ 1.818,00.",Não
21 anos,M,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,458.5,602.9,591.5,568.3,Inglês,Sem problemas,560.0,112.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MG,Estadual,Urbana,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,531.9,564.7,540.3,499.0,Inglês,Sem problemas,860.0,271.8,"De R$ 3.636,01 até R$ 4.848,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,Nenhuma Renda,Sim
18 anos,M,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Não
19 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,453.4,587.5,570.9,670.7,Inglês,Sem problemas,960.0,192.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Menor de 17 anos,F,Preta,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,429.8,501.4,457.8,389.8,Inglês,Sem problemas,520.0,104.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
Entre 51 e 55 anos,M,Parda,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MS,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
22 anos,F,Preta,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,491.0,565.2,509.8,463.5,Inglês,Sem problemas,720.0,242.2,"Até R$ 1.212,00",Sim
19 anos,M,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RN,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,422.2,511.1,545.0,480.9,Espanhol,Sem problemas,780.0,265.0,"Até R$ 1.212,00",Não
21 anos,F,Parda,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,545.3,589.4,593.2,573.2,Inglês,Sem problemas,640.0,128.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,420.7,413.9,433.9,416.0,Inglês,Sem problemas,460.0,175.2,"Até R$ 1.212,00",Não
18 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,549.2,649.8,636.0,672.3,Inglês,Sem problemas,920.0,311.2,"De R$ 1.212,01 até R$ 1.818,00.",Sim
20 anos,F,Parda,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,467.2,532.6,505.7,414.4,Espanhol,Fuga ao tema,0.0,0.0,Nenhuma Renda,Sim
19 anos,M,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,565.6,587.5,591.6,638.0,Inglês,Sem problemas,620.0,251.6,"Até R$ 1.212,00",Sim
18 anos,F,Amarela,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,MA,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Rosa,Rosa,Não identificado,,393.9,421.6,,Espanhol,Sem problemas,520.0,104.0,"De R$ 1.212,01 até R$ 1.818,00.",Não
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,446.1,506.0,484.8,382.1,Inglês,Sem problemas,680.0,237.2,"De R$ 2.424,01 até R$ 3.030,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MT,Privada,Urbana,MT,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
