FAIXA ETÁRIA,SEXO,COR OU RACA,SITUACÃO DE CONCLUSÃO,ANO QUE CONCLUIU,ESCOLA,ENSINO,ESTADO DA ESCOLA,DEPENDÊNCIA ADM DA ESCOLA,LOCALIZACAO DA ESCOLA,SG_UF_PROVA,PRESENCA CIÊNCIAS DA NATUREZA,PRESENCA CIÊNCIAS HUMANAS,PRESENCA LINGUAGENS E CÓDIGOS,PRESENCA MATEMÁTICA,CÓDIGO DA PROVA CIÊNCIAS DA NATUREZA,CÓDIGO DA PROVA CIÊNCIAS HUMANAS,CÓDIGO DA PROVA LINGUAGENS E CÓDIGOS,CÓDIGO DA PROVA MATEMÁTICA,NOTA CIÊNCIAS DA NATUREZA,NOTA CIÊNCIAS HUMANAS,NOTA LINGUAGENS E CÓDIGOS,NOTA MATEMÁTICA,LÍNGUA ESTRANGEIRA,STATUS DA REDACÃO,NOTA REDACÃO,NOTA TOTAL,"FAIXA SALARIAL",POSSUI INTERNET EM CASA
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,GO,Estadual,Urbana,GO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,486.5,507.6,562.2,505.8,Inglês,Sem problemas,680.0,136.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
17 anos,F,Preta,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,381.8,558.3,570.3,540.9,Inglês,Sem problemas,420.0,84.0,"Até R$ 1.212,00",Não
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,450.2,553.3,556.5,563.3,Espanhol,Sem problemas,580.0,116.0,"De R$ 3.030,01 até R$ 3.636,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,PE,Privada,Urbana,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,691.5,674.8,646.2,682.9,Inglês,Sem problemas,920.0,184.0,"De R$ 18.180,01 até R$ 24.240,00.",Sim
18 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MT,Federal,Urbana,MT,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,569.4,654.2,661.2,612.1,Inglês,Sem problemas,840.0,168.0,"De R$ 6.060,01 até R$ 7.272,00.",Sim
19 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,433.7,482.9,387.0,403.9,Espanhol,Sem problemas,440.0,165.4,"De R$ 1.212,01 até R$ 1.818,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MS,Estadual,Urbana,MS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,555.5,632.5,589.0,529.0,Inglês,Sem problemas,860.0,395.6,"Até R$ 1.212,00",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MG,Estadual,Urbana,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,480.3,452.6,354.5,398.5,Espanhol,Sem problemas,540.0,108.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Entre 56 e 60 anos,F,Branca,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,643.8,663.4,657.1,602.0,Espanhol,Sem problemas,640.0,248.4,"De R$ 4.848,01 até R$ 6.060,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,DF,Estadual,Urbana,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,582.4,633.1,631.7,645.5,Espanhol,Sem problemas,820.0,164.0,"Até R$ 1.212,00",Sim
19 anos,M,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 36 e 40 anos,F,Branca,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MT,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,368.6,449.3,493.0,396.8,Espanhol,Sem problemas,520.0,202.6,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Menor de 17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,633.4,631.6,602.7,746.6,Inglês,Sem problemas,660.0,132.0,"Acima de R$ 24.240,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,380.1,530.7,533.3,380.6,Espanhol,Sem problemas,660.0,132.0,"Até R$ 1.212,00",Sim
18 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 3.030,01 até R$ 3.636,00.",Sim
Entre 26 e 30 anos,F,Parda,Já conluí o Ensino Médio,2014,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Preta,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,Nenhuma Renda,Sim
22 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
20 anos,F,Preta,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,405.3,536.9,447.7,434.7,Espanhol,Sem problemas,280.0,56.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 26 e 30 anos,M,Parda,Já conluí o Ensino Médio,2016,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,641.9,439.7,492.9,473.1,Inglês,Sem problemas,400.0,80.0,Nenhuma Renda,Não
19 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RJ,Estadual,Urbana,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,412.1,485.3,487.7,371.7,Espanhol,Sem problemas,560.0,112.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Entre 36 e 40 anos,F,Parda,Já conluí o Ensino Médio,2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,Nenhuma Renda,Não
17 anos,F,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,466.5,514.1,419.0,584.2,Inglês,Sem problemas,860.0,255.8,"De R$ 1.818,01 até R$ 2.424,00.",Sim
25 anos,F,Branca,Já conluí o Ensino Médio,2014,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,446.3,531.6,581.2,478.3,Espanhol,Sem problemas,480.0,96.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
20 anos,M,Branca,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,551.8,601.6,596.5,679.4,Inglês,Sem problemas,680.0,136.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
Entre 26 e 30 anos,F,Parda,Já conluí o Ensino Médio,2010,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Não
21 anos,F,Parda,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SC,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Rosa,Rosa,Não identificado,,446.1,556.7,,Espanhol,Sem problemas,440.0,88.0,"De R$ 1.212,01 até R$ 1.818,00.",Não
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,AM,Estadual,Urbana,AM,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,425.9,550.7,526.0,533.1,Inglês,Sem problemas,660.0,237.2,"Até R$ 1.212,00",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RS,Estadual,Urbana,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,520.7,435.8,377.5,438.9,Espanhol,Sem problemas,680.0,136.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,461.0,501.2,454.2,409.3,Inglês,Sem problemas,580.0,208.2,"De R$ 1.818,01 até R$ 2.424,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,ES,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,499.3,553.9,568.0,587.2,Espanhol,Sem problemas,720.0,257.6,"De R$ 1.212,01 até R$ 1.818,00.",Sim
19 anos,F,Preta,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RO,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Branca,Branca,Não identificado,,369.6,647.8,,Inglês,Sem problemas,580.0,116.0,"Até R$ 1.212,00",Sim
Menor de 17 anos,F,Preta,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RO,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,PA,Estadual,Urbana,PA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
20 anos,F,Amarela,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
21 anos,F,Branca,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,483.7,377.5,575.8,509.7,Espanhol,Sem problemas,640.0,128.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,623.4,588.6,608.8,795.1,Inglês,Sem problemas,800.0,160.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,DF,Federal,Urbana,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,621.0,621.8,643.9,585.4,Inglês,Sem problemas,740.0,272.2,"De R$ 12.120,01 até R$ 14.544,00.",Sim
Entre 41 e 45 anos,M,Parda,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RS,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 3.030,01 até R$ 3.636,00.",Sim
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RJ,Estadual,Urbana,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,552.7,593.2,615.7,684.3,Inglês,Sem problemas,800.0,160.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
23 anos,F,Parda,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,399.8,497.6,496.5,540.3,Inglês,Sem problemas,720.0,144.0,"Até R$ 1.212,00",Sim
19 anos,M,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,599.0,651.8,668.1,736.2,Espanhol,Sem problemas,960.0,311.8,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Menor de 17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,399.3,542.4,531.1,546.7,Inglês,Sem problemas,800.0,160.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SP,Estadual,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,441.0,480.8,442.5,472.1,Espanhol,Sem problemas,440.0,176.2,"De R$ 1.818,01 até R$ 2.424,00.",Sim
17 anos,M,Amarela,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,504.1,565.4,530.2,561.8,Inglês,Sem problemas,400.0,80.0,"Até R$ 1.212,00",Não
18 anos,M,Amarela,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,455.5,536.3,525.1,369.4,Inglês,Sem problemas,420.0,84.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
22 anos,F,Branca,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,466.7,551.9,565.5,462.3,Espanhol,Sem problemas,680.0,136.0,"Até R$ 1.212,00",Sim
Entre 26 e 30 anos,M,Preta,Já conluí o Ensino Médio,2010,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 4.848,01 até R$ 6.060,00.",Sim
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,384.6,507.6,539.4,519.2,Espanhol,Sem problemas,400.0,80.0,"De R$ 1.818,01 até R$ 2.424,00.",Não
Entre 26 e 30 anos,F,Parda,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,410.1,384.5,334.9,451.9,Inglês,Sem problemas,400.0,80.0,"Até R$ 1.212,00",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,422.0,506.4,557.4,471.3,Inglês,Sem problemas,600.0,204.4,"De R$ 3.030,01 até R$ 3.636,00.",Sim
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,ES,Estadual,Urbana,ES,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,534.0,622.4,556.4,660.8,Espanhol,Sem problemas,800.0,266.8,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,PA,Estadual,Urbana,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,431.5,549.8,580.7,541.8,Inglês,Sem problemas,860.0,172.0,"Até R$ 1.212,00",Sim
23 anos,F,Parda,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,453.8,496.6,479.1,463.4,Espanhol,Sem problemas,600.0,120.0,"Até R$ 1.212,00",Sim
Entre 36 e 40 anos,M,Parda,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,458.2,538.4,558.0,436.4,Espanhol,Sem problemas,300.0,171.6,"De R$ 1.818,01 até R$ 2.424,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,RS,Privada,Urbana,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,666.0,671.0,590.6,797.8,Inglês,Sem problemas,980.0,463.4,"De R$ 8.484,01 até R$ 9.696,00.",Sim
Menor de 17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Rosa,Rosa,Não identificado,,496.4,556.4,,Inglês,Sem problemas,580.0,116.0,"De R$ 9.696,01 até R$ 10.908,00.",Sim
23 anos,F,Parda,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,505.1,546.4,571.9,544.9,Espanhol,Sem problemas,700.0,140.0,"Até R$ 1.212,00",Sim
22 anos,F,Parda,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,484.3,539.4,470.9,493.5,Espanhol,Sem problemas,780.0,156.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
20 anos,F,Preta,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,AL,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,544.2,504.2,595.1,564.7,Inglês,Sem problemas,660.0,132.0,"Até R$ 1.212,00",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,ES,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,424.2,553.9,620.3,601.5,Inglês,Sem problemas,880.0,176.0,"De R$ 14.544,01 até R$ 18.180,00.",Sim
Menor de 17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,479.7,551.3,587.9,608.5,Espanhol,Sem problemas,760.0,152.0,"Até R$ 1.212,00",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,AC,Federal,Urbana,AC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,532.2,558.4,515.8,688.0,Espanhol,Sem problemas,720.0,281.6,"De R$ 3.030,01 até R$ 3.636,00.",Sim
18 anos,M,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MA,Federal,Urbana,MA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,516.7,589.3,479.7,559.3,Espanhol,Sem problemas,540.0,108.0,"Até R$ 1.212,00",Sim
23 anos,F,Parda,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
20 anos,M,Parda,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,GO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,466.6,575.1,522.3,510.9,Espanhol,Sem problemas,700.0,140.0,"Até R$ 1.212,00",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,PI,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
19 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,514.8,456.2,462.1,446.3,Espanhol,Sem problemas,340.0,68.0,"Até R$ 1.212,00",Sim
18 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,438.1,488.2,597.8,698.8,Inglês,Sem problemas,740.0,148.0,"Até R$ 1.212,00",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"Até R$ 1.212,00",Não
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RJ,Estadual,Urbana,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,579.8,557.0,511.3,507.4,Inglês,Sem problemas,860.0,283.4,"De R$ 1.818,01 até R$ 2.424,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SC,Estadual,Urbana,SC,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 9.696,01 até R$ 10.908,00.",Sim
